'The Doctor' Romanov | Sabre,$4.59,$4.79
'Two Times' McCoy | USAF TACP,$1.16,$1.21
3rd Commando Company | KSK,$2.33,$2.43
Aces High Pin,$10.75,$11.23
AK-47 | Aquamarine Revenge (Battle-Scarred),$18.79,$19.64
AK-47 | Aquamarine Revenge (Factory New),$61.12,$63.89
AK-47 | Aquamarine Revenge (Field-Tested),$26.21,$27.40
AK-47 | Aquamarine Revenge (Minimal Wear),$41.92,$43.82
AK-47 | Aquamarine Revenge (Well-Worn),$20.19,$21.10
AK-47 | Asiimov (Battle-Scarred),$27.31,$28.55
AK-47 | Asiimov (Factory New),$156.48,$163.59
AK-47 | Asiimov (Field-Tested),$31.61,$33.04
AK-47 | Asiimov (Minimal Wear),$51.82,$54.17
AK-47 | Asiimov (Well-Worn),$34.14,$35.69
AK-47 | Baroque Purple (Battle-Scarred),$1.32,$1.38
AK-47 | Baroque Purple (Factory New),$7.77,$8.12
AK-47 | Baroque Purple (Field-Tested),$1.40,$1.46
AK-47 | Baroque Purple (Minimal Wear),$2.53,$2.64
AK-47 | Baroque Purple (Well-Worn),$1.29,$1.34
AK-47 | Black Laminate (Battle-Scarred),$20.24,$21.16
AK-47 | Black Laminate (Factory New),$94.93,$99.24
AK-47 | Black Laminate (Field-Tested),$17.85,$18.66
AK-47 | Black Laminate (Minimal Wear),$21.24,$22.20
AK-47 | Black Laminate (Well-Worn),$18.79,$19.64
AK-47 | Bloodsport (Factory New),$65.05,$68.00
AK-47 | Bloodsport (Field-Tested),$47.61,$49.77
AK-47 | Bloodsport (Minimal Wear),$53.49,$55.92
AK-47 | Bloodsport (Well-Worn),$48.93,$51.15
AK-47 | Blue Laminate (Factory New),$8.00,$8.36
AK-47 | Blue Laminate (Field-Tested),$5.90,$6.16
AK-47 | Blue Laminate (Minimal Wear),$6.55,$6.84
AK-47 | Blue Laminate (Well-Worn),$12.17,$12.72
AK-47 | Cartel (Battle-Scarred),$6.55,$6.84
AK-47 | Cartel (Factory New),$14.83,$15.50
AK-47 | Cartel (Field-Tested),$6.12,$6.39
AK-47 | Cartel (Minimal Wear),$7.65,$7.99
AK-47 | Cartel (Well-Worn),$9.90,$10.35
AK-47 | Case Hardened (Battle-Scarred),$65.86,$68.85
AK-47 | Case Hardened (Factory New),$153.43,$160.40
AK-47 | Case Hardened (Field-Tested),$81.55,$85.25
AK-47 | Case Hardened (Minimal Wear),$99.46,$103.98
AK-47 | Case Hardened (Well-Worn),$69.11,$72.25
AK-47 | Elite Build (Battle-Scarred),$1.21,$1.26
AK-47 | Elite Build (Factory New),$6.28,$6.56
AK-47 | Elite Build (Field-Tested),$1.80,$1.88
AK-47 | Elite Build (Minimal Wear),$2.75,$2.87
AK-47 | Elite Build (Well-Worn),$1.27,$1.32
AK-47 | Emerald Pinstripe (Battle-Scarred),$1.92,$2.00
AK-47 | Emerald Pinstripe (Factory New),$8.78,$9.17
